,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT,VWAP,PRE_SETTLE,SETTLE,OI,LTDATE_NEW
2018-12-18,96.51,96.51,96.51,96.51,96.51,0.0,0.0,96.51,96.51,96.52,1.0,2019-09-16
2018-12-19,96.51,96.51,96.51,96.51,96.51,1.0,965100.0,96.51,96.52,96.51,2.0,2019-09-16
2018-12-20,96.51,96.705,96.89,96.705,96.89,2.0,1935950.0,96.7975,96.51,96.89,0.0,2019-09-16
2018-12-21,96.89,96.705,96.89,96.705,96.89,0.0,0.0,96.7975,96.89,96.895,0.0,2019-09-16
2018-12-24,96.89,96.705,96.89,96.705,96.89,0.0,0.0,96.7975,96.895,96.755,0.0,2019-09-16
2018-12-25,96.89,96.705,96.89,96.705,96.89,0.0,0.0,96.7975,96.755,96.955,0.0,2019-09-16
2018-12-26,96.89,96.705,96.89,96.705,96.89,0.0,0.0,96.7975,96.955,97.125,0.0,2019-09-16
2018-12-27,96.89,96.705,96.89,96.705,96.89,0.0,0.0,96.7975,97.125,97.225,0.0,2019-09-16
2018-12-28,96.89,97.6,97.6,97.6,97.6,1.0,976000.0,97.6,97.225,97.6,1.0,2019-09-16
2019-01-02,97.6,98.0,98.0,97.665,98.0,8.0,7828850.0,97.860625,97.6,98.0,5.0,2019-09-16
2019-01-03,98.0,98.0,98.0,97.665,98.0,0.0,0.0,97.860625,98.0,98.04,5.0,2019-09-16
2019-01-04,98.0,97.9,97.9,97.9,97.9,1.0,979000.0,97.9,98.04,97.9,4.0,2019-09-16
2019-01-07,97.9,97.955,97.955,97.89,97.89,2.0,1958450.0,97.9225,97.9,97.89,5.0,2019-09-16
2019-01-08,97.89,98.0,98.2,98.0,98.2,14.0,13743850.0,98.17035714285714,97.89,98.2,14.0,2019-09-16
2019-01-09,98.2,98.0,98.2,98.0,98.2,0.0,0.0,98.17035714285714,98.2,98.06,14.0,2019-09-16
2019-01-10,98.2,98.0,98.2,98.0,98.2,0.0,0.0,98.17035714285714,98.06,97.81,14.0,2019-09-16
2019-01-11,98.2,97.82,98.0,97.8,98.0,4.0,3914400.0,97.86,97.81,97.87,13.0,2019-09-16
2019-01-14,98.0,98.05,98.05,97.845,97.845,2.0,1958950.0,97.9475,97.87,97.845,12.0,2019-09-16
2019-01-15,97.845,97.61,97.61,97.61,97.61,1.0,976100.0,97.61,97.845,97.61,12.0,2019-09-16
2019-01-16,97.61,97.87,97.87,97.87,97.87,1.0,978700.0,97.87,97.61,97.87,12.0,2019-09-16
2019-01-17,97.87,97.87,97.87,97.87,97.87,0.0,0.0,97.87,97.87,97.975,12.0,2019-09-16
2019-01-18,97.87,97.87,97.87,97.87,97.87,0.0,0.0,97.87,97.975,97.755,12.0,2019-09-16
2019-01-21,97.87,97.87,97.87,97.87,97.87,0.0,0.0,97.87,97.755,97.54,12.0,2019-09-16
2019-01-22,97.87,97.75,97.755,97.74,97.75,8.0,7819800.0,97.7475,97.54,97.745,17.0,2019-09-16
2019-01-23,97.75,97.63,97.63,97.63,97.63,1.0,976300.0,97.63,97.745,97.63,17.0,2019-09-16
2019-01-24,97.63,97.64,97.64,97.64,97.64,3.0,2929200.0,97.64,97.63,97.64,17.0,2019-09-16
2019-01-25,97.64,97.42,97.42,97.415,97.415,2.0,1948350.0,97.4175,97.64,97.415,19.0,2019-09-16
2019-01-28,97.415,97.27,97.385,97.235,97.385,26.0,25294350.0,97.28596153846154,97.415,97.385,33.0,2019-09-16
2019-01-29,97.385,97.445,97.965,97.44,97.515,16.0,15607400.0,97.54625,97.385,97.66,31.0,2019-09-16
2019-01-30,97.515,97.58,97.6,97.58,97.6,5.0,4879800.0,97.596,97.66,97.595,32.0,2019-09-16
2019-01-31,97.6,97.87,97.87,97.765,97.765,3.0,2934049.9999999995,97.80166666666665,97.595,97.765,32.0,2019-09-16
2019-02-01,97.765,97.87,97.87,97.765,97.765,0.0,0.0,97.80166666666665,97.765,97.69,32.0,2019-09-16
2019-02-11,97.765,97.975,97.975,97.975,97.975,1.0,979750.0,97.975,97.69,97.975,33.0,2019-09-16
2019-02-12,97.975,98.05,98.05,97.93,97.93,7.0,6859250.0,97.98928571428571,97.975,97.94,34.0,2019-09-16
2019-02-13,97.93,97.81,97.82,97.81,97.81,3.0,2934400.0,97.81333333333333,97.94,97.815,34.0,2019-09-16
2019-02-14,97.81,97.845,97.845,97.56,97.56,22.0,21489600.0,97.68,97.815,97.615,44.0,2019-09-16
2019-02-15,97.56,97.565,97.69,97.2,97.45,44.0,42923750.0,97.55397727272727,97.615,97.495,67.0,2019-09-16
2019-02-18,97.45,97.365,97.38,97.16,97.16,19.0,18486150.0,97.29552631578947,97.495,97.175,77.0,2019-09-16
2019-02-19,97.16,97.14,97.255,97.015,97.155,25.0,24284150.0,97.1366,97.175,97.155,86.0,2019-09-16
2019-02-20,97.155,97.325,97.36,97.295,97.35,60.0,58400000.0,97.33333333333334,97.155,97.34,120.0,2019-09-16
