,trade_date,sec_code,weight
0,2019-03-06,T1903.CFE,-0.5
1,2019-03-06,T1906.CFE,0.5
2,2019-03-08,T1903.CFE,0.0
3,2019-03-08,T1906.CFE,0.0
4,2019-06-12,T1909.CFE,0.5
5,2019-06-12,T1906.CFE,-0.5
6,2019-06-14,T1906.CFE,0.0
7,2019-06-14,T1909.CFE,0.0
8,2019-09-11,T1912.CFE,0.5
9,2019-09-11,T1909.CFE,-0.5
10,2019-09-16,T1912.CFE,0.0
11,2019-09-16,T1909.CFE,0.0
12,2019-12-11,T1912.CFE,-0.5
13,2019-12-11,T2003.CFE,0.5
14,2019-12-13,T2003.CFE,0.0
15,2019-12-13,T1912.CFE,0.0
16,2020-03-11,T2006.CFE,0.5
17,2020-03-11,T2003.CFE,-0.5
18,2020-03-13,T2003.CFE,0.0
19,2020-03-13,T2006.CFE,0.0
20,2020-06-10,T2006.CFE,-0.5
21,2020-06-10,T2009.CFE,0.5
22,2020-06-12,T2009.CFE,0.0
23,2020-06-12,T2006.CFE,0.0
24,2020-09-09,T2012.CFE,0.5
25,2020-09-09,T2009.CFE,-0.5
26,2020-09-11,T2012.CFE,0.0
27,2020-09-11,T2009.CFE,0.0
28,2020-12-09,T2012.CFE,-0.5
29,2020-12-09,T2103.CFE,0.5
30,2020-12-11,T2012.CFE,0.0
31,2020-12-11,T2103.CFE,0.0
32,2021-03-10,T2106.CFE,0.5
33,2021-03-10,T2103.CFE,-0.5
34,2021-03-12,T2103.CFE,0.0
35,2021-03-12,T2106.CFE,0.0
36,2021-06-09,T2109.CFE,0.5
37,2021-06-09,T2106.CFE,-0.5
38,2021-06-11,T2109.CFE,0.0
39,2021-06-11,T2106.CFE,0.0
40,2021-09-08,T2112.CFE,0.5
41,2021-09-08,T2109.CFE,-0.5
42,2021-09-10,T2112.CFE,0.0
43,2021-09-10,T2109.CFE,0.0
44,2021-12-08,T2112.CFE,-0.5
45,2021-12-08,T2203.CFE,0.5
46,2021-12-10,T2203.CFE,0.0
47,2021-12-10,T2112.CFE,0.0
48,2022-03-09,T2206.CFE,0.5
49,2022-03-09,T2203.CFE,-0.5
50,2022-03-11,T2206.CFE,0.0
51,2022-03-11,T2203.CFE,0.0
52,2022-06-08,T2206.CFE,-0.5
53,2022-06-08,T2209.CFE,0.5
54,2022-06-10,T2206.CFE,0.0
55,2022-06-10,T2209.CFE,0.0
56,2022-09-07,T2212.CFE,0.5
57,2022-09-07,T2209.CFE,-0.5
58,2022-09-09,T2212.CFE,0.0
59,2022-09-09,T2209.CFE,0.0
60,2022-11-11,T2303.CFE,0.5
61,2022-11-11,T2212.CFE,-0.5
62,2022-11-15,T2212.CFE,0.0
63,2022-11-15,T2303.CFE,0.0
