,sec_code,trade_date,weight
0,T1509.CFE,2015-03-20,1.0
1,T1509.CFE,2015-08-12,0.6666666666666667
2,T1512.CFE,2015-08-12,0.3333333333333333
3,T1509.CFE,2015-08-13,0.33333333333333337
4,T1512.CFE,2015-08-13,0.6666666666666666
6,T1512.CFE,2015-08-14,1.0
7,T1512.CFE,2015-11-12,0.6666666666666667
8,T1603.CFE,2015-11-12,0.3333333333333333
9,T1512.CFE,2015-11-13,0.33333333333333337
10,T1603.CFE,2015-11-13,0.6666666666666666
12,T1603.CFE,2015-11-16,1.0
13,T1603.CFE,2016-02-03,0.6666666666666667
14,T1606.CFE,2016-02-03,0.3333333333333333
15,T1603.CFE,2016-02-04,0.33333333333333337
16,T1606.CFE,2016-02-04,0.6666666666666666
18,T1606.CFE,2016-02-05,1.0
19,T1606.CFE,2016-05-04,0.6666666666666667
20,T1609.CFE,2016-05-04,0.3333333333333333
21,T1606.CFE,2016-05-05,0.33333333333333337
22,T1609.CFE,2016-05-05,0.6666666666666666
24,T1609.CFE,2016-05-06,1.0
25,T1609.CFE,2016-08-08,0.6666666666666667
26,T1612.CFE,2016-08-08,0.3333333333333333
27,T1609.CFE,2016-08-09,0.33333333333333337
28,T1612.CFE,2016-08-09,0.6666666666666666
30,T1612.CFE,2016-08-10,1.0
31,T1612.CFE,2016-11-08,0.6666666666666667
32,T1703.CFE,2016-11-08,0.3333333333333333
33,T1612.CFE,2016-11-09,0.33333333333333337
34,T1703.CFE,2016-11-09,0.6666666666666666
36,T1703.CFE,2016-11-10,1.0
37,T1703.CFE,2017-01-17,0.6666666666666667
38,T1706.CFE,2017-01-17,0.3333333333333333
39,T1703.CFE,2017-01-18,0.33333333333333337
40,T1706.CFE,2017-01-18,0.6666666666666666
42,T1706.CFE,2017-01-19,1.0
43,T1706.CFE,2017-05-08,0.6666666666666667
44,T1709.CFE,2017-05-08,0.3333333333333333
45,T1706.CFE,2017-05-09,0.33333333333333337
46,T1709.CFE,2017-05-09,0.6666666666666666
48,T1709.CFE,2017-05-10,1.0
49,T1709.CFE,2017-08-07,0.6666666666666667
50,T1712.CFE,2017-08-07,0.3333333333333333
51,T1709.CFE,2017-08-08,0.33333333333333337
52,T1712.CFE,2017-08-08,0.6666666666666666
54,T1712.CFE,2017-08-09,1.0
55,T1712.CFE,2017-11-08,0.6666666666666667
56,T1803.CFE,2017-11-08,0.3333333333333333
57,T1712.CFE,2017-11-09,0.33333333333333337
58,T1803.CFE,2017-11-09,0.6666666666666666
60,T1803.CFE,2017-11-10,1.0
61,T1803.CFE,2018-02-06,0.6666666666666667
62,T1806.CFE,2018-02-06,0.3333333333333333
63,T1803.CFE,2018-02-07,0.33333333333333337
64,T1806.CFE,2018-02-07,0.6666666666666666
66,T1806.CFE,2018-02-08,1.0
67,T1806.CFE,2018-05-16,0.6666666666666667
68,T1809.CFE,2018-05-16,0.3333333333333333
69,T1806.CFE,2018-05-17,0.33333333333333337
70,T1809.CFE,2018-05-17,0.6666666666666666
72,T1809.CFE,2018-05-18,1.0
73,T1809.CFE,2018-08-13,0.6666666666666667
74,T1812.CFE,2018-08-13,0.3333333333333333
75,T1809.CFE,2018-08-14,0.33333333333333337
76,T1812.CFE,2018-08-14,0.6666666666666666
78,T1812.CFE,2018-08-15,1.0
79,T1812.CFE,2018-11-13,0.6666666666666667
80,T1903.CFE,2018-11-13,0.3333333333333333
81,T1812.CFE,2018-11-14,0.33333333333333337
