,sec_code,trade_date,weight
0,T1509.CFE,2015-03-25,1
1,T1512.CFE,2015-08-12,1
2,T1603.CFE,2015-11-12,1
3,T1606.CFE,2016-02-03,1
4,T1609.CFE,2016-05-04,1
5,T1612.CFE,2016-08-08,1
6,T1703.CFE,2016-11-08,1
7,T1706.CFE,2017-01-17,1
8,T1709.CFE,2017-05-08,1
9,T1712.CFE,2017-08-07,1
10,T1803.CFE,2017-11-08,1
11,T1806.CFE,2018-02-06,1
12,T1809.CFE,2018-05-16,1
13,T1812.CFE,2018-08-13,1
14,T1903.CFE,2018-11-13,1
15,T1906.CFE,2019-02-19,1
16,T1909.CFE,2019-05-17,1
17,T1912.CFE,2019-08-13,1
18,T2003.CFE,2019-11-15,1
19,T2006.CFE,2020-02-14,1
20,T2009.CFE,2020-05-13,1
21,T2012.CFE,2020-08-18,1
22,T2103.CFE,2020-11-17,1
23,T2106.CFE,2021-02-09,1
24,T2109.CFE,2021-05-17,1
25,T2112.CFE,2021-08-13,1
26,T2203.CFE,2021-11-17,1
27,T2206.CFE,2022-02-14,1
28,T2209.CFE,2022-05-17,1
29,T2212.CFE,2022-08-16,1
