sec_code,trade_date,weight
T1603.CFE,2015-04-03,1
T1606.CFE,2015-09-28,1
T1609.CFE,2015-12-28,1
T1612.CFE,2016-03-28,1
T1703.CFE,2016-06-28,1
T1706.CFE,2016-09-28,1
T1709.CFE,2016-12-26,1
T1712.CFE,2017-03-27,1
T1803.CFE,2017-06-26,1
T1806.CFE,2017-09-25,1
T1809.CFE,2017-12-25,1
T1812.CFE,2018-03-26,1
T1903.CFE,2018-06-26,1
T1906.CFE,2018-10-09,1
T1909.CFE,2019-01-02,1
T1912.CFE,2019-03-25,1
T2003.CFE,2019-07-01,1
T2006.CFE,2019-10-08,1
T2009.CFE,2019-12-30,1
T2012.CFE,2020-03-30,1
T2103.CFE,2020-07-01,1
T2106.CFE,2020-09-28,1
T2109.CFE,2020-12-28,1
T2112.CFE,2021-03-29,1
T2203.CFE,2021-06-29,1
T2206.CFE,2021-09-29,1
T2209.CFE,2021-12-27,1
T2212.CFE,2022-03-28,1
T2303.CFE,2022-06-27,1
T2306.CFE,2022-09-27,1
