model,leverage,threshold,adj_days,valid,test
wls_4,1.2,0.2,5,0.44862,0.483333333
wls_4,1.2,0.18,5,0.44816,0.4838
wls_2,1.2,0.2,5,0.4472,0.486766667
wls_2,1.2,0.18,5,0.4466,0.487133333
wls_4,1.2,0.2,10,0.44614,0.4833
wls_4,1.2,0.15,5,0.4452,0.475133333
wls_2,1.2,0.2,10,0.44434,0.486166667
wls_2,1.2,0.15,5,0.44428,0.479166667
wls_4,1.2,0.18,10,0.44308,0.4802
ols,1.2,0.2,5,0.4429,0.489366667
ols,1.2,0.18,5,0.44198,0.489666667
wls_2,1.2,0.18,10,0.44154,0.482866667
ols,1.2,0.15,5,0.44036,0.4826
var,1.2,0.2,5,0.43994,0.487966667
ols,1.2,0.2,10,0.43964,0.488233333
wls_4,1.2,0.15,10,0.43924,0.4725
var,1.2,0.18,5,0.43904,0.488
wls_2,1.2,0.15,10,0.43796,0.476
ols,1.2,0.18,10,0.43706,0.484733333
var,1.2,0.15,5,0.43674,0.479766667
var,1.2,0.2,10,0.43664,0.487166667
var,1.2,0.18,10,0.43396,0.483533333
ols,1.2,0.15,10,0.4336,0.478733333
wls_4,1.5,0.2,5,0.4319,0.466333333
wls_2,1.5,0.2,5,0.43182,0.471766667
var,1.2,0.15,10,0.43024,0.476033333
ols,1.5,0.2,5,0.428,0.476333333
wls_4,1.5,0.18,5,0.42746,0.463566667
wls_2,1.5,0.18,5,0.42716,0.4686
wls_4,1.5,0.2,10,0.4264,0.468933333
wls_2,1.5,0.2,10,0.42524,0.4725
ols,1.5,0.18,5,0.42254,0.472966667
var,1.5,0.2,5,0.42248,0.473066667
ols,1.5,0.2,10,0.42014,0.4753
var,1.5,0.18,5,0.41724,0.469
wls_4,1.5,0.18,10,0.41468,0.459
var,1.5,0.2,10,0.41462,0.473233333
wls_2,1.5,0.18,10,0.4142,0.462
wls_2,1.5,0.15,5,0.4131,0.4345
wls_4,1.5,0.15,5,0.41154,0.427633333
ols,1.5,0.15,5,0.41064,0.441433333
ols,1.5,0.18,10,0.40974,0.464333333
var,1.5,0.18,10,0.404,0.461833333
var,1.5,0.15,5,0.40342,0.434333333
wls_2,1.5,0.15,10,0.39476,0.428933333
wls_4,1.5,0.15,10,0.39432,0.423733333
ols,1.5,0.15,10,0.39102,0.4338
var,1.5,0.15,10,0.3848,0.4272
