model ,leverage,threshold,adj_days,valid,test
wls_4,1.2,0.6,5,0.45456,0.4866
wls_4,1.2,0.7,5,0.4545,0.485166667
wls_4,1.2,0.65,5,0.45396,0.485
wls_4,1.2,0.6,10,0.45394,0.486833333
wls_4,1.2,0.7,10,0.4536,0.486633333
wls_4,1.2,0.65,10,0.45352,0.486866667
wls_4,1.5,0.7,10,0.45352,0.486633333
wls_4,1.5,0.65,10,0.4531,0.487133333
wls_4,1.5,0.6,10,0.45268,0.487066667
wls_2,1.2,0.6,5,0.4526,0.488966667
wls_2,1.2,0.7,5,0.45242,0.487533333
wls_2,1.2,0.65,5,0.45196,0.487366667
wls_2,1.2,0.6,10,0.45194,0.489266667
wls_2,1.2,0.7,10,0.45148,0.4891
wls_2,1.2,0.65,10,0.45142,0.4893
wls_2,1.5,0.7,10,0.4514,0.4891
wls_2,1.5,0.65,10,0.45108,0.489566667
wls_4,1.5,0.7,5,0.451,0.478433333
wls_2,1.5,0.6,10,0.45084,0.4895
wls_2,1.5,0.7,5,0.449,0.480733333
ols,1.2,0.6,5,0.44844,0.4905
ols,1.2,0.7,5,0.44808,0.489066667
ols,1.2,0.65,5,0.4477,0.488933333
ols,1.2,0.6,10,0.44758,0.490933333
wls_4,1.5,0.65,5,0.44738,0.4774
ols,1.2,0.7,10,0.44712,0.490766667
ols,1.2,0.65,10,0.44706,0.490966667
ols,1.5,0.7,10,0.44702,0.490766667
ols,1.5,0.65,10,0.4468,0.491266667
ols,1.5,0.6,10,0.44658,0.491166667
var,1.2,0.6,5,0.4465,0.489166667
var,1.2,0.7,5,0.4464,0.487966667
wls_4,1.5,0.6,5,0.44636,0.479733333
var,1.2,0.6,10,0.4461,0.490433333
var,1.2,0.65,5,0.44592,0.4878
wls_2,1.5,0.65,5,0.44558,0.4796
var,1.2,0.65,10,0.44552,0.490466667
var,1.2,0.7,10,0.44552,0.490233333
var,1.5,0.7,10,0.44542,0.490233333
var,1.5,0.6,10,0.44532,0.4906
var,1.5,0.65,10,0.44524,0.4907
ols,1.5,0.7,5,0.44472,0.482066667
wls_2,1.5,0.6,5,0.44466,0.481866667
var,1.5,0.7,5,0.44278,0.479766667
ols,1.5,0.65,5,0.4416,0.481
ols,1.5,0.6,5,0.44096,0.4832
var,1.5,0.65,5,0.43932,0.478533333
var,1.5,0.6,5,0.4383,0.480233333
