,,,,sharpe,returns,drawdown,calmar
LgbRegressor,1,500,120,0.066,0.008,0.456,0.019
LgbRegressor,1,500,250,0.066,0.008,0.456,0.019
LgbRegressor,1,500,500,0.066,0.008,0.456,0.019
LgbRegressor,1,750,120,-0.548,-0.073,0.455,-0.162
LgbRegressor,1,750,250,-0.548,-0.073,0.455,-0.162
LgbRegressor,1,750,500,-0.548,-0.073,0.455,-0.162
LgbRegressor,1,1000,120,-0.074,-0.011,0.315,-0.035
LgbRegressor,1,1000,250,-0.074,-0.011,0.315,-0.035
LgbRegressor,1,1000,500,-0.074,-0.011,0.315,-0.035
LgbRegressor,1,1250,120,0.049,0.01,0.231,0.041
LgbRegressor,1,1250,250,0.049,0.01,0.231,0.041
LgbRegressor,1,1250,500,0.049,0.01,0.231,0.041
LgbRegressor,3,500,120,0.066,0.008,0.456,0.019
LgbRegressor,3,500,250,0.066,0.008,0.456,0.019
LgbRegressor,3,500,500,0.066,0.008,0.456,0.019
LgbRegressor,3,750,120,-0.548,-0.073,0.455,-0.162
LgbRegressor,3,750,250,-0.548,-0.073,0.455,-0.162
LgbRegressor,3,750,500,-0.548,-0.073,0.455,-0.162
LgbRegressor,3,1000,120,-0.074,-0.011,0.315,-0.035
LgbRegressor,3,1000,250,-0.074,-0.011,0.315,-0.035
LgbRegressor,3,1000,500,-0.074,-0.011,0.315,-0.035
LgbRegressor,3,1250,120,0.049,0.01,0.231,0.041
LgbRegressor,3,1250,250,0.049,0.01,0.231,0.041
LgbRegressor,3,1250,500,0.049,0.01,0.231,0.041
LgbRegressor,5,500,120,0.066,0.008,0.456,0.019
LgbRegressor,5,500,250,0.066,0.008,0.456,0.019
LgbRegressor,5,500,500,0.066,0.008,0.456,0.019
LgbRegressor,5,750,120,-0.548,-0.073,0.455,-0.162
LgbRegressor,5,750,250,-0.548,-0.073,0.455,-0.162
LgbRegressor,5,750,500,-0.548,-0.073,0.455,-0.162
LgbRegressor,5,1000,120,-0.074,-0.011,0.315,-0.035
LgbRegressor,5,1000,250,-0.074,-0.011,0.315,-0.035
LgbRegressor,5,1000,500,-0.074,-0.011,0.315,-0.035
LgbRegressor,5,1250,120,0.049,0.01,0.231,0.041
LgbRegressor,5,1250,250,0.049,0.01,0.231,0.041
LgbRegressor,5,1250,500,0.049,0.01,0.231,0.041
LgbRegressor,20,500,120,0.066,0.008,0.456,0.019
LgbRegressor,20,500,250,0.066,0.008,0.456,0.019
LgbRegressor,20,500,500,0.066,0.008,0.456,0.019
LgbRegressor,20,750,120,-0.548,-0.073,0.455,-0.162
LgbRegressor,20,750,250,-0.548,-0.073,0.455,-0.162
LgbRegressor,20,750,500,-0.548,-0.073,0.455,-0.162
LgbRegressor,20,1000,120,-0.074,-0.011,0.315,-0.035
LgbRegressor,20,1000,250,-0.074,-0.011,0.315,-0.035
LgbRegressor,20,1000,500,-0.074,-0.011,0.315,-0.035
LgbRegressor,20,1250,120,0.049,0.01,0.231,0.041
LgbRegressor,20,1250,250,0.049,0.01,0.231,0.041
LgbRegressor,20,1250,500,0.049,0.01,0.231,0.041
