,,,,sharpe,returns,drawdown,calmar
LinearRegression,1,120,1,-0.152,-0.02,0.456,-0.044
LinearRegression,1,120,20,-0.152,-0.02,0.456,-0.044
LinearRegression,1,120,60,-0.152,-0.02,0.456,-0.044
LinearRegression,1,120,120,-0.152,-0.02,0.456,-0.044
LinearRegression,1,250,1,0.184,0.024,0.456,0.053
LinearRegression,1,250,20,0.184,0.024,0.456,0.053
LinearRegression,1,250,60,0.184,0.024,0.456,0.053
LinearRegression,1,250,120,0.184,0.024,0.456,0.053
LinearRegression,1,500,1,0.066,0.008,0.456,0.019
LinearRegression,1,500,20,0.066,0.008,0.456,0.019
LinearRegression,1,500,60,0.066,0.008,0.456,0.019
LinearRegression,1,500,120,0.066,0.008,0.456,0.019
LinearRegression,1,750,1,-0.548,-0.073,0.455,-0.162
LinearRegression,1,750,20,-0.548,-0.073,0.455,-0.162
LinearRegression,1,750,60,-0.548,-0.073,0.455,-0.162
LinearRegression,1,750,120,-0.548,-0.073,0.455,-0.162
LinearRegression,3,120,1,-0.152,-0.02,0.456,-0.044
LinearRegression,3,120,20,-0.152,-0.02,0.456,-0.044
LinearRegression,3,120,60,-0.152,-0.02,0.456,-0.044
LinearRegression,3,120,120,-0.152,-0.02,0.456,-0.044
LinearRegression,3,250,1,0.184,0.024,0.456,0.053
LinearRegression,3,250,20,0.184,0.024,0.456,0.053
LinearRegression,3,250,60,0.184,0.024,0.456,0.053
LinearRegression,3,250,120,0.184,0.024,0.456,0.053
LinearRegression,3,500,1,0.066,0.008,0.456,0.019
LinearRegression,3,500,20,0.066,0.008,0.456,0.019
LinearRegression,3,500,60,0.066,0.008,0.456,0.019
LinearRegression,3,500,120,0.066,0.008,0.456,0.019
LinearRegression,3,750,1,-0.548,-0.073,0.455,-0.162
LinearRegression,3,750,20,-0.548,-0.073,0.455,-0.162
LinearRegression,3,750,60,-0.548,-0.073,0.455,-0.162
LinearRegression,3,750,120,-0.548,-0.073,0.455,-0.162
LinearRegression,5,120,1,-0.152,-0.02,0.456,-0.044
LinearRegression,5,120,20,-0.152,-0.02,0.456,-0.044
LinearRegression,5,120,60,-0.152,-0.02,0.456,-0.044
LinearRegression,5,120,120,-0.152,-0.02,0.456,-0.044
LinearRegression,5,250,1,0.184,0.024,0.456,0.053
LinearRegression,5,250,20,0.184,0.024,0.456,0.053
LinearRegression,5,250,60,0.184,0.024,0.456,0.053
LinearRegression,5,250,120,0.184,0.024,0.456,0.053
LinearRegression,5,500,1,0.066,0.008,0.456,0.019
LinearRegression,5,500,20,0.066,0.008,0.456,0.019
LinearRegression,5,500,60,0.066,0.008,0.456,0.019
LinearRegression,5,500,120,0.066,0.008,0.456,0.019
LinearRegression,5,750,1,-0.548,-0.073,0.455,-0.162
LinearRegression,5,750,20,-0.548,-0.073,0.455,-0.162
LinearRegression,5,750,60,-0.548,-0.073,0.455,-0.162
LinearRegression,5,750,120,-0.548,-0.073,0.455,-0.162
LinearRegression,20,120,1,-0.152,-0.02,0.456,-0.044
LinearRegression,20,120,20,-0.152,-0.02,0.456,-0.044
LinearRegression,20,120,60,-0.152,-0.02,0.456,-0.044
LinearRegression,20,120,120,-0.152,-0.02,0.456,-0.044
LinearRegression,20,250,1,0.184,0.024,0.456,0.053
LinearRegression,20,250,20,0.184,0.024,0.456,0.053
LinearRegression,20,250,60,0.184,0.024,0.456,0.053
LinearRegression,20,250,120,0.184,0.024,0.456,0.053
LinearRegression,20,500,1,0.066,0.008,0.456,0.019
LinearRegression,20,500,20,0.066,0.008,0.456,0.019
LinearRegression,20,500,60,0.066,0.008,0.456,0.019
LinearRegression,20,500,120,0.066,0.008,0.456,0.019
LinearRegression,20,750,1,-0.548,-0.073,0.455,-0.162
LinearRegression,20,750,20,-0.548,-0.073,0.455,-0.162
LinearRegression,20,750,60,-0.548,-0.073,0.455,-0.162
LinearRegression,20,750,120,-0.548,-0.073,0.455,-0.162
