K,sigma,T,American,Wind,Diff,Ratio
35,0.2,30,0.006047553033698266,0.0061,5.2446966301734205e-05,0.00867242767603499
35,0.2,90,0.12160782491915488,0.1213,0.0003078249191548754,0.002531292039468003
35,0.2,180,0.3593072571695681,0.3585,0.0008072571695680875,0.0022467043274528634
35,0.2,360,0.7692884249626616,0.7678,0.0014884249626615498,0.0019348074328998158
40,0.2,30,0.8421328853789204,0.845,0.0028671146210795806,0.003404586937356701
40,0.2,90,1.3870542916927049,1.3848,0.0022542916927048573,0.0016252368102720846
40,0.2,180,1.8616420626528132,1.8575,0.00414206265281325,0.002224951152484635
40,0.2,360,2.4456424432079364,2.4407,0.004942443207936353,0.002020918152472598
45,0.2,30,5.0,5.0,0.0,0.0
45,0.2,90,5.033842445399462,5.0191,0.014742445399462234,0.0029286664331212185
45,0.2,180,5.190498142868313,5.1736,0.01689814286831215,0.0032555917376697286
45,0.2,360,5.510391519809118,5.4961,0.014291519809117581,0.0025935579636658275
35,0.4,30,0.24177263804329674,0.2416,0.00017263804329673005,0.0007140512040316736
35,0.4,90,1.00682384480653,1.0065,0.00032384480653013803,0.00032164991741168744
35,0.4,180,1.8946367285772372,1.8928,0.0018367285772371567,0.0009694357496259632
35,0.4,360,3.15193149230948,3.1491,0.0028314923094803213,0.0008983356130642399
40,0.4,30,1.7550410682091382,1.7542,0.0008410682091382071,0.0004792299304975477
40,0.4,90,2.945673908314677,2.9449,0.000773908314676941,0.0002627270834332511
40,0.4,180,4.040937790438813,4.0369,0.004037790438812472,0.000999221133363204
40,0.4,360,5.463318581699309,5.4582,0.005118581699309566,0.000936899729123518
45,0.4,30,5.270932001329131,5.2671,0.003832001329130641,0.0007270064057294525
45,0.4,90,6.1181961247074925,6.1161,0.0020961247074922085,0.0003426050202979433
45,0.4,180,7.08006723545761,7.072,0.008067235457610344,0.0011394292157578543
45,0.4,360,8.417532225558501,8.4089,0.008632225558502071,0.001025505495814045
