,0,1,2,3,4,5,6,7,8,9,10
2015-01-04,2.9057,3.2537,3.3145,3.3759,3.4481,3.5221,3.5633,3.5931,3.6131,3.6193,3.6285
2015-01-05,2.6867,3.2314,3.3071,3.3783,3.4507,3.522,3.5663,3.5955,3.6136,3.6196,3.6251
2015-01-06,2.2977,3.2189,3.2901,3.3589,3.4409,3.5238,3.5659,3.596,3.6191,3.6265,3.6353
2015-01-07,2.2977,3.1767,3.2522,3.3255,3.412,3.5001,3.5493,3.5876,3.6161,3.6277,3.6408
2015-01-08,2.2467,3.189,3.2515,3.3146,3.4145,3.5199,3.558,3.5799,3.6066,3.6228,3.6415
2015-01-09,2.2467,3.1787,3.2576,3.3337,3.4265,3.5212,3.5632,3.5915,3.6147,3.6229,3.6348
2015-01-12,2.1947,3.2146,3.2544,3.3025,3.4096,3.5217,3.5558,3.5746,3.6,3.6175,3.6371
2015-01-13,2.1747,3.2014,3.232,3.2681,3.3568,3.4551,3.4976,3.5301,3.5572,3.5697,3.5836
2015-01-14,2.1437,3.2012,3.2196,3.246,3.3367,3.4379,3.4713,3.4925,3.516,3.528,3.5411
2015-01-15,2.1387,3.2059,3.209,3.2267,3.3452,3.4575,3.4836,3.4957,3.5138,3.5294,3.5464
2015-01-16,2.1407,3.2029,3.2088,3.2248,3.3103,3.4011,3.4252,3.439,3.4615,3.4815,3.5017
2015-01-19,2.1477,3.1887,3.2026,3.2254,3.312,3.4013,3.4252,3.4385,3.4543,3.4633,3.475
2015-01-20,2.1747,3.1812,3.1936,3.2166,3.3128,3.399,3.4185,3.4277,3.4423,3.4561,3.4711
2015-01-21,2.1957,3.1752,3.1909,3.2161,3.3012,3.382,3.4025,3.4132,3.4315,3.4487,3.4672
2015-01-22,2.1787,3.1652,3.1809,3.2055,3.285,3.3651,3.3864,3.3986,3.4177,3.4343,3.4521
2015-01-23,2.1357,3.1606,3.1741,3.196,3.2701,3.3513,3.3797,3.4002,3.4219,3.4356,3.452
2015-01-26,2.0957,3.1427,3.143,3.1534,3.2381,3.3272,3.3502,3.3645,3.3886,3.4108,3.4341
2015-01-27,2.0817,3.0817,3.1241,3.1701,3.2444,3.322,3.3654,3.3979,3.4174,3.4239,3.4309
2015-01-28,2.0977,3.0955,3.1333,3.1794,3.2799,3.3806,3.41,3.4275,3.4487,3.4611,3.4767
2015-01-29,2.1727,3.098,3.1405,3.1927,3.3059,3.4086,3.4373,3.4502,3.468,3.4813,3.4966
2015-01-30,2.2207,3.0963,3.1553,3.2198,3.3283,3.4117,3.4321,3.4402,3.4574,3.4795,3.5019
2015-02-02,2.2967,3.0832,3.1417,3.2044,3.2997,3.3753,3.3939,3.4036,3.4247,3.4491,3.4729
2015-02-03,2.3621,3.0907,3.1432,3.2033,3.3162,3.3787,3.3876,3.3901,3.4035,3.4287,3.4533
2015-02-04,2.3807,3.0906,3.1288,3.1788,3.2973,3.3697,3.3815,3.3851,3.4014,3.4305,3.4589
2015-02-05,2.2737,3.0804,3.082,3.098,3.2326,3.3384,3.3589,3.368,3.3804,3.3908,3.4018
2015-02-06,2.2637,3.0912,3.1066,3.1377,3.2529,3.3498,3.3724,3.3843,3.4019,3.417,3.4325
2015-02-09,2.2197,3.0856,3.1147,3.1536,3.2474,3.328,3.3485,3.358,3.3776,3.4007,3.4236
2015-02-10,2.2597,3.0932,3.1102,3.1443,3.2543,3.3277,3.3407,3.3453,3.3647,3.3977,3.4299
2015-02-11,2.3397,3.0928,3.1037,3.1308,3.2275,3.2856,3.2934,3.2982,3.3221,3.3598,3.3955
2015-02-12,2.4657,3.0872,3.0947,3.1145,3.1867,3.2509,3.2654,3.2718,3.3008,3.3449,3.3865
2015-02-13,2.4987,3.0859,3.086,3.0872,3.145,3.2167,3.2447,3.2613,3.2915,3.3236,3.3552
2015-02-15,2.5827,3.0656,3.066,3.0733,3.1413,3.2118,3.2344,3.2413,3.2692,3.3164,3.3625
2015-02-16,2.5897,3.0801,3.0527,3.0588,3.1288,3.1967,3.2152,3.2206,3.2477,3.2933,3.3374
2015-02-17,2.8077,3.0624,3.0744,3.0948,3.1425,3.1974,3.2208,3.2314,3.2609,3.2999,3.3373
2015-02-25,2.7357,3.0353,3.0524,3.0764,3.1337,3.1821,3.1945,3.1982,3.2336,3.2942,3.349
2015-02-26,2.7057,3.0353,3.0525,3.0762,3.1317,3.1934,3.2163,3.2258,3.2606,3.3108,3.3594
2015-02-27,2.7257,3.0438,3.0786,3.1142,3.1632,3.2128,3.2329,3.2412,3.275,3.3255,3.3745
2015-02-28,2.7257,3.0396,3.0866,3.1311,3.1835,3.2164,3.2236,3.2257,3.255,3.3089,3.3602
2015-03-02,2.7377,3.0488,3.0959,3.1428,3.1881,3.233,3.2585,3.2745,3.307,3.3481,3.3883
2015-03-03,2.7347,3.0341,3.0843,3.1364,3.1943,3.2541,3.2845,3.3022,3.3333,3.368,3.4022
2015-03-04,2.7307,3.0291,3.0928,3.1524,3.1983,3.2406,3.2705,3.2926,3.3227,3.3549,3.3869
2015-03-05,2.7177,3.0518,3.1269,3.1961,3.2449,3.2882,3.3199,3.3427,3.3731,3.405,3.4369
2015-03-06,2.7007,3.0576,3.1643,3.2515,3.283,3.3015,3.3246,3.3425,3.3787,3.4277,3.4753
2015-03-09,2.6657,3.0787,3.1728,3.2563,3.3019,3.3327,3.3675,3.3962,3.4284,3.4602,3.4922
2015-03-10,2.6347,3.0812,3.1837,3.2711,3.3051,3.3269,3.3485,3.3624,3.4041,3.4649,3.5228
2015-03-11,2.6317,3.0615,3.1377,3.2085,3.2623,3.2969,3.3116,3.3161,3.3461,3.3838,3.4466
2015-03-12,2.7491,3.0495,3.1288,3.2016,3.2535,3.2825,3.2926,3.2961,3.329,3.381,3.4412
2015-03-13,2.7207,3.0944,3.1602,3.226,3.2912,3.3305,3.3384,3.3411,3.3742,3.4328,3.4879
2015-03-16,2.6877,3.0944,3.165,3.2356,3.292,3.3397,3.3665,3.383,3.4236,3.4775,3.5301
2015-03-17,2.6607,3.1142,3.1675,3.2207,3.2713,3.3201,3.3575,3.3902,3.4364,3.4901,3.5428
2015-03-18,2.6537,3.1042,3.1687,3.2332,3.2894,3.3404,3.3784,3.4101,3.454,3.5035,3.5519
2015-03-19,2.6167,3.0992,3.1629,3.2267,3.2834,3.3357,3.3736,3.4051,3.4462,3.4908,3.5348
2015-03-20,2.5787,3.102,3.1589,3.2157,3.259,3.2943,3.3332,3.371,3.4116,3.4537,3.4958
2015-03-23,2.5017,3.1032,3.1745,3.2458,3.2839,3.3029,3.3482,3.3976,3.4334,3.4626,3.4933
2015-03-24,2.5027,3.1031,3.1734,3.2487,3.2846,3.3086,3.3565,3.4079,3.4402,3.4609,3.4841
2015-03-25,2.4947,3.1183,3.1775,3.2367,3.2844,3.3254,3.3669,3.4066,3.4417,3.4721,3.5037
2015-03-26,2.5007,3.1483,3.1929,3.2376,3.3029,3.3799,3.4402,3.4934,3.5223,3.5316,3.544
2015-03-27,2.4907,3.1833,3.215,3.2466,3.3244,3.4271,3.464,3.4838,3.5145,3.5407,3.5678
2015-03-30,2.4877,3.1833,3.23,3.2766,3.3556,3.4526,3.4988,3.532,3.5586,3.57,3.5849
2015-03-31,2.4677,3.2236,3.2651,3.3066,3.3765,3.4625,3.5452,3.6047,3.6306,3.6392,3.6483
2015-04-01,2.3717,3.2186,3.2552,3.2917,3.3627,3.4525,3.5044,3.5475,3.5757,3.5857,3.5997
2015-04-02,2.2797,3.1743,3.2176,3.2609,3.3297,3.4113,3.4618,3.502,3.5257,3.5333,3.5438
2015-04-03,2.1717,3.1753,3.2181,3.261,3.3246,3.4013,3.496,3.556,3.5655,3.5692,3.572
2015-04-07,2.0507,3.1801,3.2282,3.2764,3.3578,3.4549,3.5148,3.5579,3.5816,3.5891,3.5987
2015-04-08,2.0177,3.1802,3.2411,3.302,3.3829,3.4749,3.5719,3.6486,3.675,3.6843,3.6938
2015-04-09,1.9337,3.1202,3.1991,3.2779,3.3692,3.4671,3.5729,3.6547,3.6837,3.6938,3.704
2015-04-10,1.8237,3.1602,3.2085,3.2571,3.3518,3.4695,3.5637,3.6389,3.6715,3.6823,3.6947
2015-04-13,1.7397,3.1602,3.219,3.2779,3.3661,3.467,3.5307,3.5864,3.6248,3.6442,3.6685
2015-04-14,1.7067,3.1302,3.166,3.2023,3.3206,3.4744,3.5281,3.5624,3.5936,3.6049,3.6211
2015-04-15,1.7067,3.1002,3.1412,3.1827,3.2865,3.417,3.488,3.541,3.5721,3.5819,3.5954
2015-04-16,1.7877,3.0729,3.1358,3.1988,3.3019,3.4207,3.4931,3.5329,3.5499,3.5563,3.56
2015-04-17,1.8577,3.1628,3.1946,3.2273,3.3028,3.3977,3.4761,3.5307,3.5501,3.5577,3.5627
2015-04-20,1.6767,3.0872,3.1192,3.1526,3.2266,3.3165,3.3671,3.4094,3.4362,3.4452,3.4554
2015-04-21,1.5917,3.0092,3.0629,3.1193,3.1985,3.2857,3.3265,3.357,3.3822,3.3932,3.4055
2015-04-22,1.5387,3.0152,3.0783,3.145,3.2165,3.2891,3.3426,3.3776,3.3945,3.4005,3.4052
2015-04-23,1.4977,2.9713,3.0931,3.2109,3.2646,3.2936,3.3754,3.4118,3.4139,3.4149,3.4151
2015-04-24,1.4407,2.9276,3.0838,3.2255,3.2819,3.3075,3.3719,3.42,3.4349,3.4411,3.4454
2015-04-27,1.3957,2.8663,3.0224,3.1722,3.2391,3.274,3.3325,3.3712,3.3868,3.3922,3.3952
