,Growth,Inflation,Rate,Credit,Exchange
2013/1/23,16.68760901,-1.859132994,-1.430156512,4.530144427,6.915380214
2013/1/24,16.69394729,-1.829550235,-1.593665679,4.530403236,6.903215455
2013/1/25,16.70079574,-1.868011654,-1.747367453,4.330078613,6.887385608
2013/1/28,16.70815528,-1.882626987,-1.419136711,4.350375311,6.86636544
2013/1/29,16.71602697,-1.800531027,-0.310520236,4.278137224,6.811279599
2013/1/30,16.72440523,-1.768671621,-0.269993148,4.318215721,6.902887569
2013/1/31,16.73329148,-1.756981816,-0.322268356,4.354599873,6.941491792
2013/2/1,16.75219919,-1.694785785,-0.419786095,4.256312331,6.881663323
2013/2/4,16.77171914,-1.78287529,-0.247017885,4.292035107,6.832445814
2013/2/5,16.79185301,-1.781030377,-0.226025074,4.291994177,6.832369238
2013/2/6,16.81260262,-1.759805829,0.133263884,4.352325788,6.806084747
2013/2/7,16.83396998,-1.758072549,0.410150028,4.346219972,6.633511857
2013/2/8,16.85595724,-1.734831011,-0.456595815,4.431548394,6.648033897
2013/2/18,17.00103916,-1.735910462,-2.075924749,4.708529088,6.710340542
2013/2/19,17.02743938,-1.740887127,-1.983717219,4.840050323,6.750743982
2013/2/20,17.05448249,-1.884382629,-1.898936192,4.715055875,6.573816615
2013/2/21,17.08217213,-2.029274373,-2.079147981,4.868560911,6.535724511
2013/2/22,17.11051208,-2.061749044,-1.431519675,4.947949865,6.538045218
2013/2/25,17.13950629,-2.136021767,-0.452547939,4.977553319,6.378141304
2013/2/26,17.16915891,-2.193429365,0.185447202,4.889491444,5.434921775
2013/2/27,17.19947423,-2.17855954,0.987480273,5.025609349,5.505152163
2013/2/28,17.23045675,-2.28069493,1.439666148,5.036105435,5.348264378
2013/3/1,17.26701807,-2.457170272,1.605419936,4.990323146,5.391792867
2013/3/4,17.30432061,-2.401558511,1.646372876,4.906256035,5.386516842
2013/3/5,17.34236963,-2.373917326,0.106256219,4.982899699,5.520303794
2013/3/6,17.38117058,-2.345919215,-0.157859401,4.944041293,5.40424045
2013/3/7,17.42072913,-2.428084448,-0.628156098,4.963597972,5.568861496
2013/3/8,17.46105111,-2.504341417,-0.720129325,5.017307919,5.419852898
2013/3/11,17.50214259,-2.602735958,0.334626478,5.10769324,5.328140219
