,000852.SH,000905.SH,000300.SH,NH0100.NHF,Bond
2011-01-04,5230.735,5011.498,3189.682,1604.1208,3.8606
2011-01-05,5243.372,5028.766,3175.662,1592.4229,3.8132
2011-01-06,5224.823,5001.283,3159.643,1609.1059,3.8339
2011-01-07,5191.945,4975.144,3166.624,1572.4374,3.8237
2011-01-10,5051.952,4830.562,3108.187,1578.9489,3.8449
2011-01-11,5006.632,4804.822,3124.922,1586.9125,3.8703
2011-01-12,5042.236,4833.58,3142.337,1592.366,3.855
2011-01-13,5043.775,4826.757,3141.284,1598.3527,3.8831
2011-01-14,4942.074,4723.426,3091.862,1606.2496,3.9156
2011-01-17,4728.306,4519.913,2974.35,1602.2159,3.9651
2011-01-18,4750.153,4536.964,2977.648,1604.3734,3.9954
2011-01-19,4873.798,4646.087,3044.851,1621.7248,3.9752
2011-01-20,4699.945,4477.359,2944.713,1609.9266,3.9749
2011-01-21,4739.904,4506.322,2983.456,1611.664,3.9837
2011-01-24,4636.905,4398.495,2954.232,1627.009,3.9918
2011-01-25,4540.682,4341.909,2938.654,1605.6675,4.0152
2011-01-26,4619.121,4424.892,2978.431,1596.7983,3.9991
2011-01-27,4695.329,4502.808,3026.466,1610.1897,4.0058
2011-01-28,4749.429,4548.206,3036.735,1609.673,4.0096
2011-01-30,,,,,4.01
2011-01-31,4816.663,4610.86,3076.508,1631.746,4.0187
2011-02-01,4830.407,4630.58,3077.283,1651.3455,4.0186
2011-02-09,4820.363,4609.717,3040.949,1660.384,4.1006
2011-02-10,4962.519,4733.973,3104.163,1674.7,4.1158
2011-02-11,5012.78,4786.806,3120.956,1672.2952,4.1062
2011-02-12,,,,,4.1087
2011-02-14,5087.252,4872.495,3219.143,1676.882,4.0552
2011-02-15,5100.428,4869.687,3217.671,1667.7473,4.0454
2011-02-16,5196.151,4952.667,3248.527,1658.5564,4.045
2011-02-17,5231.708,4987.48,3245.907,1640.92,4.0449
2011-02-18,5197.122,4941.432,3211.876,1629.9319,4.045
2011-02-21,5304.079,5042.967,3257.908,1635.9695,4.0702
2011-02-22,5166.968,4909.745,3163.578,1627.4215,4.04
2011-02-23,5235.266,4979.057,3174.742,1595.4976,3.9946
2011-02-24,5269.962,5027.731,3190.935,1577.5476,3.9132
2011-02-25,5279.127,5032.797,3197.617,1588.6185,3.9566
2011-02-28,5347.299,5095.208,3239.559,1611.7433,3.9314
2011-03-01,5373.203,5122.441,3254.893,1606.1263,3.9259
2011-03-02,5362.239,5108.74,3243.298,1615.3148,3.9233
2011-03-03,5266.435,5009.047,3221.718,1605.1518,3.9279
2011-03-04,5330.17,5067.621,3270.666,1609.1243,3.9388
2011-03-07,5389.84,5138.248,3334.51,1612.7622,3.9351
2011-03-08,5425.681,5165.735,3337.457,1573.682,3.9078
2011-03-09,5446.142,5181.368,3338.858,1577.7521,3.8879
2011-03-10,5413.565,5143.413,3280.259,1551.9063,3.9321
2011-03-11,5406.95,5139.746,3247.376,1540.369,3.9328
