,,,sharpe,returns,drawdown,calmar
1,120,1,0.459,0.081,0.366,0.22
1,120,20,0.206,0.037,0.522,0.07
1,120,60,-0.477,-0.09,0.856,-0.105
1,120,120,-0.118,-0.022,0.582,-0.038
1,250,1,-0.025,-0.005,0.531,-0.008
1,250,20,-0.394,-0.073,0.692,-0.106
1,250,60,0.055,0.009,0.428,0.021
1,250,120,-0.106,-0.021,0.647,-0.032
1,500,1,-0.329,-0.074,0.823,-0.09
1,500,20,-0.628,-0.141,1.061,-0.133
1,500,60,-0.607,-0.143,0.951,-0.151
1,500,120,-0.342,-0.072,0.522,-0.138
1,750,1,0.34,0.057,0.26,0.217
1,750,20,0.524,0.084,0.26,0.323
1,750,60,0.366,0.054,0.205,0.263
1,750,120,0.652,0.103,0.224,0.46
3,120,1,1.507,0.255,0.24,1.063
3,120,20,0.364,0.063,0.245,0.256
3,120,60,-0.061,-0.011,0.52,-0.021
3,120,120,0.0,0.0,0.406,0.0
3,250,1,1.497,0.256,0.168,1.522
3,250,20,-0.08,-0.014,0.567,-0.024
3,250,60,0.27,0.045,0.349,0.129
3,250,120,-0.247,-0.044,0.46,-0.095
3,500,1,0.542,0.102,0.347,0.292
3,500,20,-0.234,-0.044,0.491,-0.09
3,500,60,-0.237,-0.047,0.392,-0.121
3,500,120,-0.013,-0.003,0.336,-0.008
3,750,1,0.715,0.124,0.247,0.5
3,750,20,0.034,0.006,0.281,0.021
3,750,60,-0.124,-0.02,0.415,-0.048
3,750,120,0.328,0.057,0.296,0.192
5,120,1,1.937,0.34,0.183,1.855
5,120,20,0.485,0.089,0.406,0.219
5,120,60,0.099,0.018,0.426,0.043
5,120,120,0.367,0.061,0.372,0.165
5,250,1,0.967,0.163,0.367,0.443
5,250,20,0.062,0.011,0.694,0.016
5,250,60,0.303,0.051,0.36,0.142
5,250,120,0.005,0.001,0.372,0.002
5,500,1,0.107,0.022,0.676,0.033
5,500,20,-0.664,-0.132,0.779,-0.17
5,500,60,-0.466,-0.085,0.456,-0.187
5,500,120,-0.418,-0.076,0.504,-0.151
5,750,1,0.461,0.08,0.31,0.258
5,750,20,0.022,0.004,0.371,0.01
5,750,60,-0.507,-0.079,0.537,-0.146
5,750,120,-0.171,-0.028,0.429,-0.066
20,120,1,2.213,0.426,0.141,3.033
20,120,20,2.213,0.426,0.141,3.033
20,120,60,0.453,0.097,0.657,0.147
20,120,120,0.288,0.063,0.804,0.078
20,250,1,1.683,0.299,0.201,1.485
20,250,20,1.683,0.299,0.201,1.485
20,250,60,0.584,0.108,0.53,0.204
20,250,120,0.533,0.108,0.606,0.178
20,500,1,0.587,0.128,0.647,0.198
20,500,20,0.587,0.128,0.647,0.198
20,500,60,-0.083,-0.021,1.031,-0.02
20,500,120,0.153,0.031,0.603,0.051
20,750,1,1.069,0.179,0.204,0.879
20,750,20,1.069,0.179,0.204,0.879
20,750,60,0.369,0.061,0.299,0.205
20,750,120,0.362,0.063,0.243,0.26
