,,,,000905.SH,NH0100.NHF,Bond,mean
1,LinearRegression,120,1,0.531959852086635,0.5076597992604331,0.5124141574220814,0.5173446029230498
1,LinearRegression,120,20,0.5240359218172214,0.5139989434759641,0.5071315372424723,0.5150554675118859
1,LinearRegression,120,60,0.5139989434759641,0.5071315372424723,0.4923402007395668,0.5044902271526678
1,LinearRegression,120,120,0.503433703116746,0.4780771262546223,0.49920760697305866,0.4935728121148089
1,LinearRegression,250,1,0.5155984117980714,0.5093590470788428,0.5127623369256948,0.5125732652675364
1,LinearRegression,250,20,0.5144639818491208,0.5019852524106636,0.5065229722064662,0.5076574021554169
1,LinearRegression,250,60,0.504254112308565,0.4844015882019285,0.5002836074872377,0.4963131026659104
1,LinearRegression,250,120,0.5235394214407261,0.5025524673851389,0.5025524673851389,0.5095481187370013
1,LinearRegression,500,1,0.5373430270984798,0.5135492399206874,0.4963648380700595,0.5157523683630756
1,LinearRegression,500,20,0.5261070720423001,0.5089226701916721,0.4950429610046266,0.5100242344128663
1,LinearRegression,500,60,0.5089226701916721,0.5122273628552545,0.48578982154659617,0.5023132848645075
1,LinearRegression,500,120,0.5102445472571051,0.5181758096497026,0.47191011235955055,0.5001101564221194
1,LinearRegression,750,1,0.5146476642913698,0.5296912114014252,0.5138558986539984,0.5193982581155977
1,LinearRegression,750,20,0.5265241488519399,0.5391923990498813,0.5154394299287411,0.5270519926101874
1,LinearRegression,750,60,0.5098970704671417,0.5257323832145685,0.517814726840855,0.517814726840855
1,LinearRegression,750,120,0.505938242280285,0.5273159144893111,0.5281076801266825,0.5204539456320929
1,LogisticRegression,120,1,0.537770734284205,0.5007923930269413,0.4918119387216059,0.5101250220109175
1,LogisticRegression,120,20,0.537770734284205,0.5007923930269413,0.4918119387216059,0.5101250220109175
1,LogisticRegression,120,60,0.537770734284205,0.5007923930269413,0.4918119387216059,0.5101250220109175
1,LogisticRegression,120,120,0.537770734284205,0.5007923930269413,0.4918119387216059,0.5101250220109175
1,LogisticRegression,250,1,0.5399886557005105,0.5031196823596142,0.49120816789563243,0.5114388353185857
1,LogisticRegression,250,20,0.5399886557005105,0.5031196823596142,0.49120816789563243,0.5114388353185857
1,LogisticRegression,250,60,0.5399886557005105,0.5031196823596142,0.49120816789563243,0.5114388353185857
1,LogisticRegression,250,120,0.5399886557005105,0.5031196823596142,0.49120816789563243,0.5114388353185857
1,LogisticRegression,500,1,0.549239920687376,0.5069398545935228,0.48645076007931265,0.5142101784534038
1,LogisticRegression,500,20,0.549239920687376,0.5069398545935228,0.48645076007931265,0.5142101784534038
1,LogisticRegression,500,60,0.549239920687376,0.5069398545935228,0.48645076007931265,0.5142101784534038
1,LogisticRegression,500,120,0.549239920687376,0.5069398545935228,0.48645076007931265,0.5142101784534038
1,LogisticRegression,750,1,0.5447347585114806,0.5091053048297703,0.47743467933491684,0.5104249142253893
1,LogisticRegression,750,20,0.5447347585114806,0.5091053048297703,0.47743467933491684,0.5104249142253893
1,LogisticRegression,750,60,0.5447347585114806,0.5091053048297703,0.47743467933491684,0.5104249142253893
1,LogisticRegression,750,120,0.5447347585114806,0.5091053048297703,0.47743467933491684,0.5104249142253893
3,LinearRegression,120,1,0.5330163761225568,0.5367142102482831,0.5171685155837296,0.5289663673181898
3,LinearRegression,120,20,0.4976228209191759,0.5108293713681986,0.4918119387216059,0.5000880436696602
3,LinearRegression,120,60,0.4976228209191759,0.5044902271526677,0.47437929212889596,0.4921641134002465
3,LinearRegression,120,120,0.5050184891706286,0.48071843634442685,0.4844162704701532,0.49005106532840287
3,LinearRegression,250,1,0.5224049914917753,0.5190017016449234,0.49404424276800907,0.5118169786349026
3,LinearRegression,250,20,0.5070901871809416,0.49177538287010775,0.4775950085082246,0.49215352618642466
3,LinearRegression,250,60,0.500850822461713,0.4883720930232558,0.46568349404424275,0.48496880317640384
3,LinearRegression,250,120,0.5382870107770845,0.5076574021554169,0.46681792399319344,0.504254112308565
3,LinearRegression,500,1,0.5234633179114342,0.5069398545935228,0.47653668208856576,0.5023132848645075
3,LinearRegression,500,20,0.5214805023132849,0.5029742233972241,0.4560475875743556,0.4935007710949549
3,LinearRegression,500,60,0.5049570389953735,0.5009914077990747,0.4448116325181758,0.48358669310420793
3,LinearRegression,500,120,0.5003304692663583,0.5049570389953735,0.4461335095836087,0.4838070059484469
3,LinearRegression,750,1,0.5328582739509106,0.5368171021377672,0.47110055423594616,0.5135919767748746
3,LinearRegression,750,20,0.5146476642913698,0.5233570863024545,0.4750593824228028,0.5043547110055424
3,LinearRegression,750,60,0.49406175771971494,0.5233570863024545,0.47980997624703087,0.49907627342306676
3,LinearRegression,750,120,0.48772763262074426,0.5162311955661124,0.49406175771971494,0.49934019530219054
3,LogisticRegression,120,1,0.537770734284205,0.5007923930269413,0.4918119387216059,0.5101250220109175
3,LogisticRegression,120,20,0.537770734284205,0.5007923930269413,0.4918119387216059,0.5101250220109175
3,LogisticRegression,120,60,0.537770734284205,0.5007923930269413,0.4918119387216059,0.5101250220109175
3,LogisticRegression,120,120,0.537770734284205,0.5007923930269413,0.4918119387216059,0.5101250220109175
3,LogisticRegression,250,1,0.5399886557005105,0.5031196823596142,0.49120816789563243,0.5114388353185857
3,LogisticRegression,250,20,0.5399886557005105,0.5031196823596142,0.49120816789563243,0.5114388353185857
3,LogisticRegression,250,60,0.5399886557005105,0.5031196823596142,0.49120816789563243,0.5114388353185857
3,LogisticRegression,250,120,0.5399886557005105,0.5031196823596142,0.49120816789563243,0.5114388353185857
3,LogisticRegression,500,1,0.549239920687376,0.5069398545935228,0.48645076007931265,0.5142101784534038
3,LogisticRegression,500,20,0.549239920687376,0.5069398545935228,0.48645076007931265,0.5142101784534038
3,LogisticRegression,500,60,0.549239920687376,0.5069398545935228,0.48645076007931265,0.5142101784534038
3,LogisticRegression,500,120,0.549239920687376,0.5069398545935228,0.48645076007931265,0.5142101784534038
3,LogisticRegression,750,1,0.5447347585114806,0.5091053048297703,0.47743467933491684,0.5104249142253893
3,LogisticRegression,750,20,0.5447347585114806,0.5091053048297703,0.47743467933491684,0.5104249142253893
3,LogisticRegression,750,60,0.5447347585114806,0.5091053048297703,0.47743467933491684,0.5104249142253893
3,LogisticRegression,750,120,0.5447347585114806,0.5091053048297703,0.47743467933491684,0.5104249142253893
5,LinearRegression,120,1,0.5504490227152667,0.5398837823560486,0.5245641838351822,0.5382989963021659
5,LinearRegression,120,20,0.5192815636555732,0.5182250396196514,0.4976228209191759,0.5117098080648002
5,LinearRegression,120,60,0.5002641310089805,0.502905441098785,0.47702060221870046,0.4933967247754886
5,LinearRegression,120,120,0.5055467511885895,0.48177496038034867,0.48335974643423135,0.49022715266772315
5,LinearRegression,250,1,0.5337492909812819,0.5178672716959728,0.5036868973340897,0.5184344866704481
5,LinearRegression,250,20,0.5099262620533183,0.4968803176403857,0.48667044809982984,0.49782567593117794
5,LinearRegression,250,60,0.5025524673851389,0.49290981281905843,0.47362450368689735,0.4896955946303649
5,LinearRegression,250,120,0.5439591605218378,0.49290981281905843,0.4753261486103233,0.5040650406504065
5,LinearRegression,500,1,0.5313945803040317,0.5036351619299405,0.4553866490416391,0.4968054637585371
5,LinearRegression,500,20,0.520158625247852,0.4976867151354924,0.4527428949107733,0.49019607843137253
5,LinearRegression,500,60,0.5016523463317911,0.4990085922009253,0.44282881692002646,0.48116325181758096
5,LinearRegression,500,120,0.488433575677462,0.5076007931262393,0.4520819563780568,0.4827054417272527
5,LinearRegression,750,1,0.5391923990498813,0.5281076801266825,0.47268408551068886,0.513328054895751
5,LinearRegression,750,20,0.5312747426761678,0.5273159144893111,0.4671417260490895,0.5085774610715229
5,LinearRegression,750,60,0.49406175771971494,0.5170229612034838,0.4584323040380047,0.48983900765373445
5,LinearRegression,750,120,0.48139350752177357,0.5027711797307997,0.4845605700712589,0.4895750857746107
5,LogisticRegression,120,1,0.537770734284205,0.5007923930269413,0.4918119387216059,0.5101250220109175
5,LogisticRegression,120,20,0.537770734284205,0.5007923930269413,0.4918119387216059,0.5101250220109175
5,LogisticRegression,120,60,0.537770734284205,0.5007923930269413,0.4918119387216059,0.5101250220109175
5,LogisticRegression,120,120,0.537770734284205,0.5007923930269413,0.4918119387216059,0.5101250220109175
5,LogisticRegression,250,1,0.5399886557005105,0.5031196823596142,0.49120816789563243,0.5114388353185857
5,LogisticRegression,250,20,0.5399886557005105,0.5031196823596142,0.49120816789563243,0.5114388353185857
5,LogisticRegression,250,60,0.5399886557005105,0.5031196823596142,0.49120816789563243,0.5114388353185857
5,LogisticRegression,250,120,0.5399886557005105,0.5031196823596142,0.49120816789563243,0.5114388353185857
5,LogisticRegression,500,1,0.549239920687376,0.5069398545935228,0.48645076007931265,0.5142101784534038
5,LogisticRegression,500,20,0.549239920687376,0.5069398545935228,0.48645076007931265,0.5142101784534038
5,LogisticRegression,500,60,0.549239920687376,0.5069398545935228,0.48645076007931265,0.5142101784534038
5,LogisticRegression,500,120,0.549239920687376,0.5069398545935228,0.48645076007931265,0.5142101784534038
5,LogisticRegression,750,1,0.5447347585114806,0.5091053048297703,0.47743467933491684,0.5104249142253893
5,LogisticRegression,750,20,0.5447347585114806,0.5091053048297703,0.47743467933491684,0.5104249142253893
5,LogisticRegression,750,60,0.5447347585114806,0.5091053048297703,0.47743467933491684,0.5104249142253893
5,LogisticRegression,750,120,0.5447347585114806,0.5091053048297703,0.47743467933491684,0.5104249142253893
20,LinearRegression,120,1,0.5530903328050714,0.5346011621764395,0.5340729001584786,0.5405881317133298
20,LinearRegression,120,20,0.5530903328050714,0.5346011621764395,0.5340729001584786,0.5405881317133298
20,LinearRegression,120,60,0.5208663497094559,0.5124141574220814,0.48177496038034867,0.5050184891706286
20,LinearRegression,120,120,0.5282620179609087,0.485472794506075,0.46328578975171686,0.4923402007395668
20,LinearRegression,250,1,0.5456608054452637,0.5167328417470222,0.5150311968235961,0.5258082813386273
20,LinearRegression,250,20,0.5456608054452637,0.5167328417470222,0.5150311968235961,0.5258082813386273
20,LinearRegression,250,60,0.5229722064662508,0.5065229722064662,0.4821327283040272,0.5038759689922481
20,LinearRegression,250,120,0.5501985252410664,0.5144639818491208,0.4775950085082246,0.5140858385328039
20,LinearRegression,500,1,0.5327164573694646,0.5142101784534039,0.4699272967614012,0.5056179775280899
20,LinearRegression,500,20,0.5327164573694646,0.5142101784534039,0.4699272967614012,0.5056179775280899
20,LinearRegression,500,60,0.5076007931262393,0.5128883013879709,0.46265697290152014,0.49438202247191015
20,LinearRegression,500,120,0.5082617316589557,0.5102445472571051,0.46596166556510243,0.49482264816038773
20,LinearRegression,750,1,0.5391923990498813,0.5360253365003959,0.4679334916864608,0.5143837424122459
20,LinearRegression,750,20,0.5391923990498813,0.5360253365003959,0.4679334916864608,0.5143837424122459
20,LinearRegression,750,60,0.5075217735550277,0.5328582739509106,0.4679334916864608,0.5027711797307997
20,LinearRegression,750,120,0.503562945368171,0.5233570863024545,0.4932699920823436,0.5067300079176563
20,LogisticRegression,120,1,0.537770734284205,0.5007923930269413,0.4918119387216059,0.5101250220109175
20,LogisticRegression,120,20,0.537770734284205,0.5007923930269413,0.4918119387216059,0.5101250220109175
20,LogisticRegression,120,60,0.537770734284205,0.5007923930269413,0.4918119387216059,0.5101250220109175
20,LogisticRegression,120,120,0.537770734284205,0.5007923930269413,0.4918119387216059,0.5101250220109175
20,LogisticRegression,250,1,0.5399886557005105,0.5031196823596142,0.49120816789563243,0.5114388353185857
20,LogisticRegression,250,20,0.5399886557005105,0.5031196823596142,0.49120816789563243,0.5114388353185857
20,LogisticRegression,250,60,0.5399886557005105,0.5031196823596142,0.49120816789563243,0.5114388353185857
20,LogisticRegression,250,120,0.5399886557005105,0.5031196823596142,0.49120816789563243,0.5114388353185857
20,LogisticRegression,500,1,0.549239920687376,0.5069398545935228,0.48645076007931265,0.5142101784534038
20,LogisticRegression,500,20,0.549239920687376,0.5069398545935228,0.48645076007931265,0.5142101784534038
20,LogisticRegression,500,60,0.549239920687376,0.5069398545935228,0.48645076007931265,0.5142101784534038
20,LogisticRegression,500,120,0.549239920687376,0.5069398545935228,0.48645076007931265,0.5142101784534038
20,LogisticRegression,750,1,0.5447347585114806,0.5091053048297703,0.47743467933491684,0.5104249142253893
20,LogisticRegression,750,20,0.5447347585114806,0.5091053048297703,0.47743467933491684,0.5104249142253893
20,LogisticRegression,750,60,0.5447347585114806,0.5091053048297703,0.47743467933491684,0.5104249142253893
20,LogisticRegression,750,120,0.5447347585114806,0.5091053048297703,0.47743467933491684,0.5104249142253893
