,,,,sharpe,returns,drawdown,calmar
1,LinearRegression,120,1,0.664,0.131,0.451,0.29
1,LinearRegression,120,20,0.084,0.018,0.819,0.022
1,LinearRegression,120,60,0.176,0.038,0.71,0.054
1,LinearRegression,120,120,0.543,0.11,0.538,0.204
1,LinearRegression,250,1,0.557,0.113,0.628,0.18
1,LinearRegression,250,20,-0.06,-0.013,0.807,-0.016
1,LinearRegression,250,60,-0.314,-0.072,1.399,-0.052
1,LinearRegression,250,120,0.113,0.027,1.031,0.026
1,LinearRegression,500,1,0.9,0.191,0.73,0.262
1,LinearRegression,500,20,0.751,0.168,0.696,0.241
1,LinearRegression,500,60,0.729,0.149,0.538,0.277
1,LinearRegression,500,120,0.461,0.106,0.681,0.156
1,LinearRegression,750,1,0.339,0.072,0.835,0.087
1,LinearRegression,750,20,0.04,0.009,1.051,0.009
1,LinearRegression,750,60,0.37,0.089,0.718,0.124
1,LinearRegression,750,120,0.299,0.071,0.714,0.1
1,LogisticRegression,120,1,0.172,0.035,0.634,0.055
1,LogisticRegression,120,20,0.196,0.042,0.565,0.074
1,LogisticRegression,120,60,-0.017,-0.004,0.902,-0.004
1,LogisticRegression,120,120,0.449,0.09,0.538,0.167
1,LogisticRegression,250,1,0.315,0.059,0.57,0.103
1,LogisticRegression,250,20,0.213,0.041,0.667,0.062
1,LogisticRegression,250,60,0.389,0.076,0.609,0.125
1,LogisticRegression,250,120,1.203,0.227,0.308,0.737
1,LogisticRegression,500,1,0.272,0.052,0.61,0.086
1,LogisticRegression,500,20,-0.194,-0.039,1.035,-0.038
1,LogisticRegression,500,60,0.243,0.046,0.696,0.067
1,LogisticRegression,500,120,-0.03,-0.007,0.711,-0.009
1,LogisticRegression,750,1,0.209,0.049,0.667,0.074
1,LogisticRegression,750,20,-0.081,-0.019,0.837,-0.023
1,LogisticRegression,750,60,-0.079,-0.019,0.708,-0.027
1,LogisticRegression,750,120,-0.194,-0.047,0.815,-0.058
3,LinearRegression,120,1,1.461,0.287,0.2,1.434
3,LinearRegression,120,20,-0.003,-0.001,0.822,-0.001
3,LinearRegression,120,60,0.109,0.023,0.738,0.031
3,LinearRegression,120,120,0.45,0.089,0.538,0.166
3,LinearRegression,250,1,0.856,0.17,0.601,0.282
3,LinearRegression,250,20,-0.083,-0.017,0.934,-0.019
3,LinearRegression,250,60,0.047,0.01,0.944,0.011
3,LinearRegression,250,120,0.183,0.043,1.091,0.04
3,LinearRegression,500,1,1.065,0.221,0.643,0.344
3,LinearRegression,500,20,0.665,0.151,0.769,0.197
3,LinearRegression,500,60,0.767,0.171,0.635,0.269
3,LinearRegression,500,120,0.512,0.12,0.643,0.186
