,,,,sharpe,returns,drawdown,calmar
1,LinearRegression,120,1,0.474,0.092,0.557,0.166
1,LinearRegression,120,20,0.247,0.051,0.538,0.096
1,LinearRegression,120,60,0.453,0.094,0.585,0.16
1,LinearRegression,120,120,0.392,0.077,0.538,0.144
1,LinearRegression,250,1,0.605,0.12,0.791,0.152
1,LinearRegression,250,20,-0.269,-0.057,1.315,-0.044
1,LinearRegression,250,60,-0.113,-0.026,1.338,-0.019
1,LinearRegression,250,120,0.289,0.066,0.764,0.087
1,LinearRegression,500,1,0.438,0.092,0.641,0.144
1,LinearRegression,500,20,0.367,0.08,0.714,0.111
1,LinearRegression,500,60,0.586,0.117,0.556,0.211
1,LinearRegression,500,120,0.471,0.107,0.663,0.161
1,LinearRegression,750,1,0.551,0.119,0.7,0.17
1,LinearRegression,750,20,0.395,0.089,0.745,0.12
1,LinearRegression,750,60,0.444,0.11,0.645,0.171
1,LinearRegression,750,120,0.508,0.122,0.645,0.189
1,LogisticRegression,120,1,0.085,0.018,0.656,0.027
1,LogisticRegression,120,20,0.075,0.016,0.85,0.019
1,LogisticRegression,120,60,-0.491,-0.107,0.985,-0.109
1,LogisticRegression,120,120,-0.069,-0.013,0.635,-0.02
1,LogisticRegression,250,1,0.134,0.026,0.887,0.029
1,LogisticRegression,250,20,0.279,0.055,0.627,0.088
1,LogisticRegression,250,60,0.216,0.044,0.613,0.071
1,LogisticRegression,250,120,0.346,0.068,0.454,0.149
1,LogisticRegression,500,1,0.133,0.027,0.919,0.03
1,LogisticRegression,500,20,0.194,0.039,0.766,0.051
1,LogisticRegression,500,60,0.171,0.033,0.721,0.046
1,LogisticRegression,500,120,-0.176,-0.039,0.784,-0.05
1,LogisticRegression,750,1,0.091,0.021,0.76,0.028
1,LogisticRegression,750,20,-0.314,-0.074,0.968,-0.077
1,LogisticRegression,750,60,-0.409,-0.099,1.217,-0.081
1,LogisticRegression,750,120,-0.182,-0.043,1.003,-0.043
3,LinearRegression,120,1,1.423,0.27,0.283,0.955
3,LinearRegression,120,20,0.044,0.009,0.66,0.013
3,LinearRegression,120,60,0.217,0.043,0.619,0.07
3,LinearRegression,120,120,0.03,0.006,0.858,0.007
3,LinearRegression,250,1,1.135,0.223,0.461,0.484
3,LinearRegression,250,20,-0.231,-0.046,1.134,-0.041
3,LinearRegression,250,60,0.059,0.013,1.038,0.012
3,LinearRegression,250,120,0.296,0.068,0.88,0.077
3,LinearRegression,500,1,1.306,0.269,0.52,0.517
3,LinearRegression,500,20,0.484,0.11,0.766,0.143
3,LinearRegression,500,60,0.46,0.102,0.728,0.14
3,LinearRegression,500,120,0.321,0.073,0.643,0.114
3,LinearRegression,750,1,0.759,0.166,0.538,0.308
3,LinearRegression,750,20,0.118,0.027,1.023,0.026
3,LinearRegression,750,60,0.045,0.011,0.903,0.012
3,LinearRegression,750,120,0.236,0.057,0.672,0.086
3,LogisticRegression,120,1,1.342,0.266,0.348,0.764
3,LogisticRegression,120,20,0.111,0.024,0.633,0.037
3,LogisticRegression,120,60,0.357,0.074,0.73,0.102
3,LogisticRegression,120,120,0.608,0.112,0.538,0.208
3,LogisticRegression,250,1,0.761,0.152,0.401,0.379
3,LogisticRegression,250,20,0.364,0.076,0.388,0.196
3,LogisticRegression,250,60,-0.017,-0.004,0.76,-0.005
3,LogisticRegression,250,120,0.025,0.006,0.968,0.006
3,LogisticRegression,500,1,0.573,0.133,0.565,0.235
3,LogisticRegression,500,20,0.18,0.042,0.697,0.06
3,LogisticRegression,500,60,0.217,0.051,0.641,0.08
3,LogisticRegression,500,120,0.183,0.044,0.606,0.073
3,LogisticRegression,750,1,0.321,0.073,0.438,0.167
3,LogisticRegression,750,20,-0.075,-0.019,0.956,-0.019
3,LogisticRegression,750,60,-0.031,-0.007,0.656,-0.011
3,LogisticRegression,750,120,0.144,0.034,0.543,0.063
5,LinearRegression,120,1,1.641,0.319,0.325,0.982
5,LinearRegression,120,20,0.348,0.073,0.538,0.135
5,LinearRegression,120,60,-0.125,-0.025,0.911,-0.027
5,LinearRegression,120,120,0.068,0.012,0.79,0.015
5,LinearRegression,250,1,1.152,0.234,0.354,0.66
5,LinearRegression,250,20,-0.014,-0.003,1.189,-0.003
5,LinearRegression,250,60,-0.032,-0.007,1.146,-0.006
5,LinearRegression,250,120,0.259,0.059,0.853,0.07
5,LinearRegression,500,1,1.284,0.277,0.538,0.515
5,LinearRegression,500,20,0.341,0.076,0.794,0.096
5,LinearRegression,500,60,0.077,0.017,0.865,0.019
5,LinearRegression,500,120,-0.064,-0.014,0.76,-0.019
5,LinearRegression,750,1,0.774,0.168,0.59,0.285
5,LinearRegression,750,20,0.236,0.054,0.862,0.062
