,,,sharpe,returns,drawdown,calmar
1,120,1,0.027,0.005,0.535,0.009
1,120,20,0.011,0.002,0.582,0.004
1,120,60,0.18,0.034,0.508,0.067
1,120,120,0.126,0.025,0.538,0.047
1,250,1,0.24,0.042,0.473,0.089
1,250,20,-0.264,-0.047,0.659,-0.071
1,250,60,0.151,0.027,0.405,0.066
1,250,120,0.381,0.072,0.489,0.148
1,500,1,0.322,0.063,0.587,0.107
1,500,20,0.316,0.062,0.626,0.099
1,500,60,-0.058,-0.011,0.735,-0.015
1,500,120,-0.045,-0.009,0.529,-0.017
1,750,1,0.137,0.027,0.56,0.048
1,750,20,0.124,0.024,0.578,0.041
1,750,60,0.173,0.033,0.579,0.057
1,750,120,-0.115,-0.022,0.594,-0.037
3,120,1,1.156,0.205,0.332,0.618
3,120,20,0.472,0.085,0.427,0.2
3,120,60,0.654,0.116,0.414,0.28
3,120,120,-0.084,-0.016,0.538,-0.029
3,250,1,1.036,0.165,0.195,0.846
3,250,20,0.097,0.017,0.524,0.033
3,250,60,0.066,0.013,0.588,0.021
3,250,120,0.485,0.099,0.401,0.247
3,500,1,1.186,0.224,0.512,0.437
3,500,20,0.551,0.111,0.72,0.154
3,500,60,0.632,0.125,0.539,0.232
3,500,120,0.434,0.094,0.545,0.173
3,750,1,1.007,0.181,0.238,0.759
3,750,20,0.916,0.165,0.379,0.435
3,750,60,0.477,0.087,0.59,0.147
3,750,120,0.297,0.057,0.594,0.096
5,120,1,1.711,0.317,0.188,1.691
5,120,20,0.505,0.093,0.315,0.295
5,120,60,-0.042,-0.007,0.6,-0.012
5,120,120,-0.253,-0.048,0.686,-0.069
5,250,1,0.861,0.146,0.369,0.394
5,250,20,-0.463,-0.081,0.986,-0.082
5,250,60,-0.13,-0.026,0.94,-0.028
5,250,120,0.192,0.043,0.587,0.073
5,500,1,0.688,0.134,0.492,0.273
5,500,20,0.116,0.022,0.403,0.055
5,500,60,-0.157,-0.033,0.653,-0.051
5,500,120,-0.153,-0.033,0.686,-0.049
5,750,1,0.968,0.156,0.217,0.721
5,750,20,0.529,0.083,0.259,0.322
5,750,60,0.277,0.044,0.428,0.104
5,750,120,0.315,0.055,0.392,0.14
20,120,1,1.513,0.292,0.412,0.708
20,120,20,1.513,0.292,0.412,0.708
20,120,60,0.656,0.114,0.27,0.421
20,120,120,0.455,0.087,0.467,0.187
20,250,1,1.536,0.248,0.152,1.632
20,250,20,1.536,0.248,0.152,1.632
20,250,60,0.521,0.092,0.237,0.386
20,250,120,0.284,0.052,0.525,0.1
20,500,1,0.918,0.173,0.512,0.337
20,500,20,0.918,0.173,0.512,0.337
20,500,60,0.147,0.03,0.541,0.055
20,500,120,0.079,0.017,0.516,0.034
20,750,1,0.45,0.079,0.332,0.239
20,750,20,0.45,0.079,0.332,0.239
20,750,60,-0.061,-0.011,0.593,-0.018
20,750,120,0.282,0.051,0.392,0.13
