,close
2010/1/4,3.6603
2010/1/5,3.6606
2010/1/6,3.6425
2010/1/7,3.6543
2010/1/8,3.6614
2010/1/11,3.6696
2010/1/12,3.6694
2010/1/13,3.7053
2010/1/14,3.6868
2010/1/15,3.6871
2010/1/18,3.6852
2010/1/19,3.6559
2010/1/20,3.64
2010/1/21,3.6558
2010/1/22,3.63
2010/1/25,3.6
2010/1/26,3.5838
2010/1/27,3.5648
2010/1/28,3.5879
2010/1/29,3.58
2010/2/1,3.5406
2010/2/2,3.4956
2010/2/3,3.4648
2010/2/4,3.5006
2010/2/5,3.4733
2010/2/8,3.4706
2010/2/9,3.4743
2010/2/10,3.4615
2010/2/11,3.4516
2010/2/12,3.457
2010/2/20,3.4889
2010/2/21,3.4841
2010/2/22,3.5149
2010/2/23,3.51
2010/2/24,3.4646
2010/2/25,3.4448
2010/2/26,3.3753
2010/3/1,3.3613
2010/3/2,3.3414
2010/3/3,3.3169
2010/3/4,3.3518
2010/3/5,3.3537
2010/3/8,3.3602
2010/3/9,3.3817
2010/3/10,3.403
2010/3/11,3.4559
2010/3/12,3.4526
2010/3/15,3.4484
2010/3/16,3.4331
2010/3/17,3.3829
2010/3/18,3.3639
2010/3/19,3.3805
2010/3/22,3.4216
2010/3/23,3.4062
2010/3/24,3.3961
2010/3/25,3.4168
2010/3/26,3.4582
2010/3/29,3.4784
2010/3/30,3.4959
2010/3/31,3.4818
2010/4/1,3.4742
2010/4/2,3.48
2010/4/6,3.5021
2010/4/7,3.5182
2010/4/8,3.5549
2010/4/9,3.5468
2010/4/12,3.5343
2010/4/13,3.5031
2010/4/14,3.5043
2010/4/15,3.5071
2010/4/16,3.4813
2010/4/19,3.4116
2010/4/20,3.4086
2010/4/21,3.4354
2010/4/22,3.4093
2010/4/23,3.4106
2010/4/26,3.3715
2010/4/27,3.3768
2010/4/28,3.3456
2010/4/29,3.3607
2010/4/30,3.3565
2010/5/4,3.3826
2010/5/5,3.3636
2010/5/6,3.3485
2010/5/7,3.2721
2010/5/10,3.3027
2010/5/11,3.2983
2010/5/12,3.2781
2010/5/13,3.2686
2010/5/14,3.2687
2010/5/17,3.2257
2010/5/18,3.2118
2010/5/19,3.1865
2010/5/20,3.2078
2010/5/21,3.1972
2010/5/24,3.2277
