产品名称,挂钩标的,标的代码,结构,成立日,初始点位,到期日,期限,敲出阈值,敲出价格,敲入阈值,敲入价格,票息,状态,敲入日期,敲入点位,敲出日期,敲出点位,存续时长(日),存续时长(月),存续时长(年),实际损益,实际年化损益,标的资产实际损益,标的资产年化损益
产品0,ZZ500,000905.SH,snowBall,2016-01-04,6983.4044,2017-01-04,12个月,0.97,6773.902268,0.1,698.3404400000001,0.2,未敲入且到期,,,,,246,12,1.0,0.20000000000000004,0.20000000000000004,-0.08430486998576237,-0.08430486998576237
产品1,ZZ500,000905.SH,snowBall,2016-01-05,6889.7414,2017-01-05,12个月,0.97,6683.049158,0.1,688.97414,0.2,未敲入且到期,,,,,246,12,1.0,0.20000000000000004,0.20000000000000004,-0.07118660505893593,-0.07118660505893593
产品2,ZZ500,000905.SH,snowBall,2016-01-06,7065.6068,2017-01-06,12个月,0.97,6853.638596,0.1,706.56068,0.2,未敲入且到期,,,,,246,12,1.0,0.20000000000000004,0.20000000000000004,-0.09822086335175062,-0.09822086335175062
产品3,ZZ500,000905.SH,snowBall,2016-01-07,6462.2428,2017-01-06,12个月,0.97,6268.375516,0.1,646.22428,0.2,已敲出未曾敲入,,,2016-07-07,6319.7926,123,6,0.5,0.10000000000000002,0.20000000000000004,-0.022043461443448154,-0.04408692288689631
产品4,ZZ500,000905.SH,snowBall,2016-01-08,6570.4316,2017-01-06,12个月,0.97,6373.318652,0.1,657.0431600000001,0.2,已敲出未曾敲入,,,2016-09-08,6517.9835,167,8,0.6666666666666666,0.13333333333333333,0.2,-0.007982443649516058,-0.011973665474274087
产品5,ZZ500,000905.SH,snowBall,2016-01-11,6128.6558,2017-01-11,12个月,0.97,5944.796126,0.1,612.86558,0.2,已敲出未曾敲入,,,2016-04-11,6304.3004,61,3,0.25,0.05000000000000001,0.20000000000000004,0.028659563488619977,0.11463825395447991
产品6,ZZ500,000905.SH,snowBall,2016-01-12,6136.6632,2017-01-12,12个月,0.97,5952.563304,0.1,613.66632,0.2,已敲出未曾敲入,,,2016-04-12,6252.7729,61,3,0.25,0.05000000000000001,0.20000000000000004,0.01892065707630808,0.07568262830523231
产品7,ZZ500,000905.SH,snowBall,2016-01-13,5924.044,2017-01-13,12个月,0.97,5746.322679999999,0.1,592.4044,0.2,已敲出未曾敲入,,,2016-04-13,6344.2255,61,3,0.25,0.05000000000000001,0.20000000000000004,0.07092815313323131,0.28371261253292523
产品8,ZZ500,000905.SH,snowBall,2016-01-14,6124.8202,2017-01-13,12个月,0.97,5941.075594,0.1,612.48202,0.2,已敲出未曾敲入,,,2016-04-14,6401.8545,61,3,0.25,0.05000000000000001,0.20000000000000004,0.04523141756879667,0.1809256702751867
产品9,ZZ500,000905.SH,snowBall,2016-01-15,5893.6815,2017-01-13,12个月,0.97,5716.871055,0.1,589.36815,0.2,已敲出未曾敲入,,,2016-04-15,6384.3496,61,3,0.25,0.05000000000000001,0.20000000000000004,0.08325324332507611,0.33301297330030444
产品10,ZZ500,000905.SH,snowBall,2016-01-18,5978.9076,2017-01-18,12个月,0.97,5799.5403719999995,0.1,597.89076,0.2,已敲出未曾敲入,,,2016-02-18,5957.1305,20,1,0.08333333333333333,0.016666666666666666,0.2,-0.0036423208814934105,-0.043707850577920926
产品11,ZZ500,000905.SH,snowBall,2016-01-19,6197.0947,2017-01-19,12个月,0.97,6011.181858999999,0.1,619.70947,0.2,已敲出未曾敲入,,,2016-04-19,6308.229,61,3,0.25,0.05000000000000001,0.20000000000000004,0.01793329057889026,0.07173316231556104
产品12,ZZ500,000905.SH,snowBall,2016-01-20,6138.5031,2017-01-20,12个月,0.97,5954.348007,0.1,613.85031,0.2,已敲出未曾敲入,,,2016-02-19,5979.5164,19,1,0.08333333333333333,0.016666666666666666,0.2,-0.025899913612489556,-0.31079896334987467
产品13,ZZ500,000905.SH,snowBall,2016-01-21,5886.8835,2017-01-20,12个月,0.97,5710.276995,0.1,588.68835,0.2,已敲出未曾敲入,,,2016-02-19,5979.5164,18,1,0.08333333333333333,0.016666666666666666,0.2,0.015735473616897755,0.18882568340277306
产品14,ZZ500,000905.SH,snowBall,2016-01-22,5980.6111,2017-01-20,12个月,0.97,5801.192767,0.1,598.06111,0.2,已敲出未曾敲入,,,2016-02-22,6103.7225,18,1,0.08333333333333333,0.016666666666666666,0.2,0.020585087032326754,0.24702104438792105
产品15,ZZ500,000905.SH,snowBall,2016-01-25,6041.3261,2017-01-25,12个月,0.97,5860.086317,0.1,604.13261,0.2,已敲出未曾敲入,,,2016-03-25,6077.4312,41,2,0.16666666666666666,0.03333333333333333,0.2,0.00597635343670655,0.0358581206202393
产品16,ZZ500,000905.SH,snowBall,2016-01-26,5589.3069,2017-01-26,12个月,0.97,5421.627692999999,0.1,558.93069,0.2,已敲出未曾敲入,,,2016-02-26,5648.9376,20,1,0.08333333333333333,0.016666666666666666,0.2,0.010668710998853914,0.12802453198624697
产品17,ZZ500,000905.SH,snowBall,2016-01-27,5514.1886,2017-01-26,12个月,0.97,5348.762942,0.1,551.4188600000001,0.2,已敲出未曾敲入,,,2016-02-26,5648.9376,19,1,0.08333333333333333,0.016666666666666666,0.2,0.024436777516097186,0.2932413301931662
产品18,ZZ500,000905.SH,snowBall,2016-01-28,5271.2325,2017-01-26,12个月,0.97,5113.095525,0.1,527.12325,0.2,已敲出未曾敲入,,,2016-02-26,5648.9376,18,1,0.08333333333333333,0.016666666666666666,0.2,0.07165403916446489,0.8598484699735787
产品19,ZZ500,000905.SH,snowBall,2016-01-29,5469.1254,2017-01-26,12个月,0.97,5305.051638,0.1,546.91254,0.2,已敲出未曾敲入,,,2016-02-29,5350.4337,18,1,0.08333333333333333,0.016666666666666666,0.2,-0.021702135409072953,-0.26042562490887544
产品20,ZZ500,000905.SH,snowBall,2016-02-01,5399.4771,2017-01-26,12个月,0.97,5237.492787,0.1,539.94771,0.2,已敲出未曾敲入,,,2016-03-01,5473.6349,18,1,0.08333333333333333,0.016666666666666666,0.2,0.01373425585970156,0.16481107031641873
产品21,ZZ500,000905.SH,snowBall,2016-02-02,5586.6266,2017-01-26,12个月,0.97,5419.027802,0.1,558.66266,0.2,已敲出未曾敲入,,,2016-03-02,5753.1482,18,1,0.08333333333333333,0.016666666666666666,0.2,0.02980718274602423,0.35768619295229076
产品22,ZZ500,000905.SH,snowBall,2016-02-03,5610.1734,2017-02-03,12个月,0.97,5441.868197999999,0.1,561.01734,0.2,已敲出未曾敲入,,,2016-03-03,5776.977,18,1,0.08333333333333333,0.016666666666666666,0.2,0.029732343032391917,0.356788116388703
